Player,Nation,Age,league_name,Min,Sh/90,Gls/90,Ast/90,Fls/90,TklW/90,Min/90,Valor_de_Mercado,Performance_Score,sub_valorização,Cluster,pca_1,pca_2,images
Saud Abdulhamid,Saudi Arabia,26.0,Ligue 1,918,0.49,0.0980392156862745,0.196078431372549,1.6666666666666667,1.862745098039216,10.2,5000000.0,0.3035124799373878,16473787.176828643,1,1.3450744019317893,0.7227449872337169,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Saudi_Arabia_v_Oman_%282%29_%28cropped%29.jpg/500px-Saudi_Arabia_v_Oman_%282%29_%28cropped%29.jpg
Zakaria Aboukhlal,Morocco,26.0,Serie A,511,1.23,0.0,0.0,2.1135029354207435,2.1135029354207435,5.677777777777778,7500000.0,0.2899283716446595,25868458.32801803,1,2.043082827418069,-0.981995353979173,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Aboukhlal.jpg/500px-Aboukhlal.jpg
Jayden Addai,Netherlands,20.0,Serie A,686,1.71,0.3935860058309038,0.0,1.7055393586005831,0.2623906705539359,7.622222222222222,20000000.0,0.0866662351478291,230770379.7896079,2,-1.3558050557591022,-1.3573239774933292,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Bombonera_de_noche_2010.jpg/500px-Bombonera_de_noche_2010.jpg
Amine Adli,Morocco,25.0,Premier League,968,1.77,0.2789256198347107,0.0929752066115702,2.4173553719008263,1.3016528925619837,10.755555555555556,20000000.0,0.744559308588511,26861527.039282806,1,0.169419900323419,-0.964719180836938,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Amine_Adli_27122025_%284%29.jpg/500px-Amine_Adli_27122025_%284%29.jpg
Ebenezer Akinsanmiro,Nigeria,21.0,Serie A,953,1.04,0.0,0.0944386149003148,2.266526757607555,1.5110178384050368,10.588888888888889,6500000.0,0.208881022546232,31118193.12623933,1,1.5360250370713937,-0.1298602613603882,https://img.a.transfermarkt.technology/portrait/header/969192-1692945465.jpg?lm=1
Carlos Alcaraz,Argentina,23.0,Premier League,675,2.4,0.0,0.1333333333333333,1.0666666666666669,1.0666666666666669,7.5,15000000.0,0.0413370615583728,362870495.2532298,0,-0.5645210767580677,0.0854571595688349,https://commons.wikimedia.org/wiki/Special:FilePath/Charly_Alcaraz_(cropped).jpg
Thiago Almada,Argentina,24.0,La Liga,910,1.68,0.2967032967032967,0.0989010989010989,0.6923076923076923,1.1868131868131868,10.11111111111111,20000000.0,0.1289295592300779,155123465.242827,2,-1.0424122855724596,-0.366258658265596,https://upload.wikimedia.org/wikipedia/commons/6/68/Almada_asse_ol_2425.png
Sergi Altimira,Spain,24.0,La Liga,918,0.39,0.0980392156862745,0.0980392156862745,0.9803921568627452,2.549019607843137,10.2,20000000.0,0.1576513157619996,126862245.98463397,1,1.7776778596533005,0.1019456899729433,https://img.a.transfermarkt.technology/portrait/header/466801-1744375696.jpg?lm=1
Arthur,Brazil,23.0,Bundesliga,1048,0.86,0.0858778625954198,0.2576335877862595,1.4599236641221374,0.9446564885496184,11.644444444444444,7000000.0,0.0505252147066931,138544685.868949,0,0.0644211008778411,1.3284064050385662,https://upload.wikimedia.org/wikipedia/commons/3/3b/Artus2.jpg
Zachary Athekame,Switzerland,21.0,Serie A,454,1.19,0.198237885462555,0.198237885462555,2.1806167400881056,0.7929515418502203,5.044444444444444,10000000.0,0.3760113087605788,26594944.798235822,0,-0.0395450217437141,0.3717489496553952,https://img.a.transfermarkt.technology/portrait/header/990637-1733948149.jpg?lm=1
